GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,VelocityLoggerRedirect,47,21,10,2,20,10,10,6,1,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator,328,532,61,56,45,118,45,31,0,13
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.reporting,ReportGenerator.new Object() {...},10,65,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,MavenArtifact,38,132,2,4,18,23,9,9,7,8
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.nexus,NexusSearch,209,0,19,0,50,0,14,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.ParentType,5,43,0,0,0,4,1,3,1,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,Hints,0,17,0,0,0,7,0,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintErrorHandler,11,13,0,0,3,3,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintRule,0,197,0,0,0,41,0,21,0,21
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler.new Object() {...},3,23,0,0,0,1,0,1,0,1
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParseException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,VendorDuplicatingHintRule,8,15,0,0,4,6,2,3,2,3
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintParser,120,172,19,15,10,28,17,5,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.xml.hints,HintHandler,3,317,22,50,3,63,22,30,0,5
Dependency-Check Command Line/dependency-check-core,org.owasp.dependencycheck.data.cwe,CweHandler,41,0,4,0,8,0,5,0,3,0
